community_id,parameter_draw_id,residual_realization_id,lhs_candidate_index,building_id,year,period,Area,EnergyLabel,support_level,z_G,z_C,z_A,z_Q,G,R,C,A,Qint,tau_hours,C_conditional_center,C_residual_multiplier,residual_quantile_G,residual_quantile_C,residual_quantile_A,residual_quantile_Q,probability_typicality_pass,prescreen_score,energy_label_effect_used,selected_realization_id,model_version,selection_rule
lhs_fast__c009__b048,48,9,9,area_core_01,1970,1965 - 1974,76.0,C,core,-1.3909768155441784,2.5988687453850203,0.4376611791163414,0.3695485865271867,0.2488321227936691,4.018773736979278,13.448515730988928,1.5490799578524153,0.3695485865271867,54.04654182105098,8.95590647712137,1.5016364636393102,0.7238903919167241,0.6680543156872885,0.2754290939594758,0.6227284906196419,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_02,1970,1965 - 1974,85.0,C,core,-1.258927205305779,2.1746539115959074,0.827830764060926,1.0523360464315246,0.28395849231985143,3.5216414618570306,8.799139315075804,2.2883493826362744,1.0523360464315246,30.987413840627227,9.507555162485641,0.9254891677930974,0.8514982240075315,0.5115393931476236,0.39733686479918046,0.92372890042388,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_03,1970,1965 - 1974,95.0,C,core,-1.453323367161075,2.0062257876348157,0.6436228383736277,0.34641099207602677,0.23379201885491518,4.277305978612436,7.435202292170197,1.9033639836682874,0.34641099207602677,31.80263521649247,10.089452119426289,0.7369282498357287,0.6323344756104903,0.40577069004779753,0.307249993434594,0.6187671309480742,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_04,1970,1965 - 1974,105.0,C,core,-1.0585273510211406,1.8111930437107757,1.4999263879670526,0.10126972953442018,0.3469663939883364,2.882123506271377,6.117741813502302,4.481359176236795,0.10126972953442018,17.632087485994266,10.643436937357256,0.5747900654185982,0.9255793328816262,0.2438050569956413,0.6706628105669583,0.5248195699750056,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_05,1970,1965 - 1974,120.0,C,core,-1.5346772590263098,3.649105390448053,1.5122646319993795,-0.8619900278204821,0.21552523877162397,4.63982782573147,38.44026163682915,4.536993790291986,-0.8619900278204821,178.35619557095785,11.430215811763876,3.3630390073008747,0.5553706430315399,0.9603682065099788,0.6379018288108703,0.20117020300549238,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_06,1970,1965 - 1974,140.0,C,core,-1.9517968011305857,1.8019566746555575,1.4902974211774236,0.5877723828281401,0.14201866290185602,7.041328087218114,6.061496244605243,4.438415401448033,0.5877723828281401,42.68098375770602,12.411080786870526,0.48839390772619884,0.3774293153930102,0.1287302895330772,0.5649836732751107,0.7495058733761812,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_07,1970,1965 - 1974,170.0,C,core,-1.5381794196517642,2.214832178133474,1.742741752561395,-0.535434835027228,0.21477175494742803,4.656105735341133,9.159871755836253,5.712985562233588,-0.535434835027228,42.64933141733843,13.767148340532877,0.6653427078190185,0.4916740734673609,0.3267416303466893,0.6922556886344142,0.4182153582129934,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_core_08,1970,1965 - 1974,217.0,C,core,-0.7737373418027739,2.975475427810922,0.9021667063929512,1.5643821705060308,0.46128585981049436,2.167853140806918,19.59893891558221,2.464938126560853,1.5643821705060308,42.48762128462783,15.684208687890992,1.2495969229683606,0.952682539123236,0.6030409513114419,0.2541983224093937,0.9761700083579975,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_old_01,1958,1946 - 1964,80.0,D,weak,-1.8903502037616255,1.657332633073361,-0.3183452653720158,1.2124308114568416,0.1510189121834848,6.6216872148106924,5.245301025613684,0.7273516157302841,1.2124308114568416,34.732742739139546,7.060467798599442,0.7429112595987158,0.5657844484544798,0.42037666524636197,0.10289834063659614,0.8238087490840154,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
lhs_fast__c009__b048,48,9,9,area_old_02,1958,1946 - 1964,90.0,D,weak,-1.6681941383883396,1.6918936726768383,1.7186536086961013,0.2482789608153717,0.18858732092260092,5.302583413921104,5.429753150920377,5.577014563176008,0.2482789608153717,28.791718999756245,7.518880668113725,0.7221491323764485,0.6699717460165676,0.35257684178495097,0.6856396393439779,0.6106170938369225,True,0.44471373805437214,False,lhs_fast__c009__b048,task102b_copula_deploy_v1_20260830,lhs_scale_stable_typicality_v2
